format,year,value
8-Track,1965,100.0
8-Track,1966,300.0
8-Track,1967,910.0
8-Track,1968,1620.0
8-Track,1969,1950.0
8-Track,1970,2250.0
8-Track,1971,2240.0
8-Track,1972,2200.0
8-Track,1973,2815.68
8-Track,1974,2848.01
8-Track,1975,2770.41
8-Track,1976,3047.22
8-Track,1977,3421.42
8-Track,1978,3717.22
8-Track,1979,2409.73
8-Track,1980,1635.09
8-Track,1981,880.32
8-Track,1982,95.37
8-Track,1983,
8-Track,1984,
8-Track,1985,
8-Track,1986,
8-Track,1987,
8-Track,1988,
8-Track,1989,
8-Track,1990,
8-Track,1991,
8-Track,1992,
8-Track,1993,
8-Track,1994,
8-Track,1995,
8-Track,1996,
8-Track,1997,
8-Track,1998,
8-Track,1999,
8-Track,2000,
8-Track,2001,
8-Track,2002,
8-Track,2003,
8-Track,2004,
8-Track,2005,
8-Track,2006,
8-Track,2007,
8-Track,2008,
8-Track,2009,
8-Track,2010,
8-Track,2011,
8-Track,2012,
8-Track,2013,
8-Track,2014,
8-Track,2015,
8-Track,2016,
8-Track,2017,
8-Track,2018,
8-Track,2019,
CD,1973,
CD,1974,
CD,1975,
CD,1976,
CD,1977,
CD,1978,
CD,1979,
CD,1980,
CD,1981,
CD,1982,
CD,1983,44.15
CD,1984,254.18
CD,1985,925.45
CD,1986,2169.59
CD,1987,3586.40
CD,1988,4516.46
CD,1989,5335.19
CD,1990,6751.54
CD,1991,8142.17
CD,1992,9706.04
CD,1993,11520.31
CD,1994,14601.95
CD,1995,15730.96
CD,1996,16187.86
CD,1997,15793.55
CD,1998,17905.40
CD,1999,19667.33
CD,2000,19618.93
CD,2001,18635.68
CD,2002,17115.94
CD,2003,15607.44
CD,2004,15491.68
CD,2005,13771.44
CD,2006,11885.77
CD,2007,9190.70
CD,2008,6496.78
CD,2009,5146.58
CD,2010,3973.86
CD,2011,3524.14
CD,2012,2767.78
CD,2013,2349.53
CD,2014,1918.22
CD,2015,1558.63
CD,2016,1204.50
CD,2017,1102.77
CD,2018,711.04
CD,2019,614.51
CD,2020,483.30
CD Single,1973,
CD Single,1974,
CD Single,1975,
CD Single,1976,
CD Single,1977,
CD Single,1978,
CD Single,1979,
CD Single,1980,
CD Single,1981,
CD Single,1982,
CD Single,1983,
CD Single,1984,
CD Single,1985,
CD Single,1986,
CD Single,1987,
CD Single,1988,21.18
CD Single,1989,1.44
CD Single,1990,11.74
CD Single,1991,65.89
CD Single,1992,82.18
CD Single,1993,81.03
CD Single,1994,96.78
CD Single,1995,186.04
CD Single,1996,299.98
CD Single,1997,434.38
CD Single,1998,334.39
CD Single,1999,341.29
CD Single,2000,211.86
